League,Wage,Age,Apps,Caps,Position_num,Club_num,Nation_num,League_num
Bundesliga,1546834.5456276247,24.418847573255626,152.6663114275351,10.222155187708571,1.2876346036773443,61.27777777777778,48.11381291147548,0.0
La Liga,1653994.4654599552,25.34659841510188,190.49106965213224,10.454760786786375,1.3407328425282927,58.2,41.750197668489974,1.0
Ligue 1 Uber Eats,1336892.169692744,25.54559269057058,165.19625034531518,9.813478371259482,1.3459050826041081,54.9,45.850388292880425,2.0
Premier League,2305277.7307743505,23.206424088218338,127.51082832356556,11.44393878082087,1.389413420894963,54.6,48.22609957427787,3.0
Primiera Liga,193512.83980800764,23.48034512676831,97.19198989825588,2.521364431049767,1.284247638855841,53.611111111111114,61.072496188844106,4.0
Serie A,1342781.1524407112,24.447912402222748,149.0713061108155,11.051307625702275,1.2705086143492583,62.4,55.340257905823954,5.0
